ID	TYPE	CONCEPT	DOCULECT	TOKENS	COGID	FORM	NOTE	ALIGNMENT
230	0 xia	全 (xia)	Baxter	jw !? m .	115	pʰĭwɐm˥˩ / ţĭwɛn˥˩	?	jw !? m .
231	0 xia	冢 (xia)	Zhou	ĭw o ŋ ˥	116	tsĭwoŋ˥	?	ĭw o ŋ ˥
232	0 xia	冢 (xia)	Baxter	jw !? ng .	116	tsĭwoŋ˥	?	jw !? ng .
233	0 xia	冷 (xia)	Zhou	. ɐ ŋ ˥	117	tɐŋ˥	?	. ɐ ŋ ˥
234	0 xia	冷 (xia)	Baxter	. !? ng .	117	tɐŋ˥	?	. !? ng .
235	0 xia	凜 (xia)	Zhou	ĭ ĕ m ˥	118	ɳĭĕm˥	?	ĭ ĕ m ˥
236	0 xia	凜 (xia)	Baxter	j !? m .	118	ɳĭĕm˥	?	j !? m .
237	0 xia	凡 (xia)	Zhou	ĭw ɐ m ˥˩	119	pʰĭwɐm˥˩	?	ĭw ɐ m ˥˩
238	0 xia	凡 (xia)	Baxter	jw !? m X	119	pʰĭwɐm˥˩	?	jw !? m X
239	0 xia	剄 (xia)	Zhou	i e ŋ ˥	120	ŋieŋ˥	?	i e ŋ ˥
240	0 xia	剄 (xia)	Baxter	j !? ng .	120	ŋieŋ˥	?	j !? ng .
241	0 xia	劫 (xia)	Zhou	ĭ ɐ p .	121	kʰĭɐp	?	ĭ ɐ p .
242	0 xia	劫 (xia)	Baxter	j !? p .	121	kʰĭɐp	?	j !? p .
243	0 xia	勇 (xia)	Zhou	ĭw o ŋ ˥	122	pĭwoŋ˥ / tɕĭwoŋ˥	?	ĭw o ŋ ˥
244	0 xia	勇 (xia)	Baxter	jw !? ng .	122	pĭwoŋ˥ / tɕĭwoŋ˥	?	jw !? ng .
245	0 xia	勒 (xia)	Zhou	. ə k .	123	nək	?	. ə k .
246	0 xia	勒 (xia)	Baxter	. !? k .	123	nək	?	. !? k .
247	0 xia	動 (xia)	Zhou	. u ŋ ˥	124	tuŋ˥ / nuŋ˥	?	. u ŋ ˥
248	0 xia	動 (xia)	Baxter	. !? ng .	124	tuŋ˥ / nuŋ˥	?	. !? ng .
249	0 xia	匊 (xia)	Zhou	ĭ u k .	125	kʰĭuk	?	ĭ u k .
250	0 xia	匊 (xia)	Baxter	j !? k .	125	kʰĭuk	?	j !? k .
251	0 xia	升 (xia)	Zhou	ĭ ə ŋ ˥˩	126	ţʰĭəŋ˥˩	?	ĭ ə ŋ ˥˩
252	0 xia	升 (xia)	Baxter	j !? ng X	126	ţʰĭəŋ˥˩	?	j !? ng X
253	0 xia	南 (xia)	Zhou	. ɒ m ˥˩	127	kɒm˥˩	?	. ɒ m ˥˩
254	0 xia	南 (xia)	Baxter	. !? m X	127	kɒm˥˩	?	. !? m X
255	0 xia	厄 (xia)	Zhou	. æ k .	128	pæk	?	. æ k .
256	0 xia	厄 (xia)	Baxter	. !? k .	128	pæk	?	. !? k .
257	0 xia	叱 (xia)	Zhou	ĭ e t .	129	dʒʰĭet	?	ĭ e t .
258	0 xia	叱 (xia)	Baxter	j !? t .	129	dʒʰĭet	?	j !? t .
259	0 xia	吠 (xia)	Zhou	ĭw ɐi . ˩˥	130	xĭwɐi˩˥ / kʰĭwɐi˩˥	?	ĭw ɐi . ˩˥
260	0 xia	吠 (xia)	Baxter	jw !? . X	130	xĭwɐi˩˥ / kʰĭwɐi˩˥	?	jw !? . X
261	0 xia	否 (xia)	Zhou	ĭ əu . ˥	131	pʰĭəu˥	?	ĭ əu . ˥
262	0 xia	否 (xia)	Baxter	j !? . .	131	pʰĭəu˥	?	j !? . .
263	0 xia	吹 (xia)	Zhou	ĭw e . ˩	132	jĭwe˩	?	ĭw e . ˩
264	0 xia	吹 (xia)	Baxter	!? !? . X	132	jĭwe˩	?	!? !? . X
265	0 xia	吾 (xia)	Zhou	. u . ˥˩	133	tsu˥˩	?	. u . ˥˩
266	0 xia	吾 (xia)	Baxter	. u . .	133	tsu˥˩	?	. u . .
267	0 xia	和 (xia)	Zhou	u ɑ . ˩	134	dʰuɑ˩	?	u ɑ . ˩
268	0 xia	和 (xia)	Baxter	w !? . X	134	dʰuɑ˩	?	w !? . X
269	0 xia	唵 (xia)	Zhou	. ɒ m ˥	135	xɒm˥	?	. ɒ m ˥
270	0 xia	唵 (xia)	Baxter	. !? m .	135	xɒm˥	?	. !? m .
271	0 xia	嘲 (xia)	Zhou	. au . ˩	136	lau˩	?	. au . ˩
272	0 xia	嘲 (xia)	Baxter	. au . X	136	lau˩	?	. au . X
273	0 xia	器 (xia)	Zhou	. i . ˩˥	137	xi˩˥ / ŋi˩˥	?	. i . ˩˥
274	0 xia	器 (xia)	Baxter	. i . X	137	xi˩˥ / ŋi˩˥	?	. i . X
275	0 xia	在 (xia)	Zhou	. ɒi . ˥	138	jɒi˥	?	. ɒi . ˥
276	0 xia	在 (xia)	Baxter	. oj . .	138	jɒi˥	?	. oj . .
277	0 xia	圭 (xia)	Zhou	iw ei . ˩	139	ɣiwei˩ / kʰiwei˥˩	?	iw ei . ˩
278	0 xia	圭 (xia)	Baxter	jw !? . .	139	ɣiwei˩ / kʰiwei˥˩	?	jw !? . .
